title,author
HBR 20-Minute Manager Boxed Set (10 Books) (HBR 20-Minute Manager Series),Harvard Business Review
The Investment Advisor Body of Knowledge + Test Bank: Readings for the CIMA Certification,IMCA
Essentials of Negotiation,Roy Lewicki
Principles of Managerial Finance (14th Edition) (Pearson Series in Finance),Lawrence J. Gitman
Fundamentals of Corporate Finance,Richard Brealey
"Principles of Managerial Finance, Brief (7th Edition) (Pearson Series in Finance)",Lawrence J. Gitman
Pricing and Revenue Optimization,Robert Phillips
Financial Modeling and Valuation: A Practical Guide to Investment Banking and Private Equity,Paul Pignataro
Intermediate Financial Management (Finance Titles in the Brigham Family),Eugene F. Brigham
Deep Value: Why Activist Investors and Other Contrarians Battle for Control of Losing Corporations (Wiley Finance),Tobias E. Carlisle
2015 Valuation Handbook: Guide to Cost of Capital (Wiley Finance),Roger J. Grabowski
"Essentials of Corporate Finance (The Mcgraw-Hill/Irwin Series in Finance, Insurance, and Real Estate)",Stephen A. Ross
The Budget-Building Book for Nonprofits: A Step-by-Step Guide for Managers and Boards,Murray Dropkin
"Study Guide for Brigham/Ehrhardt's Financial Management: Theory & Practice, 14th",Eugene F. Brigham
A Pragmatist's Guide to Leveraged Finance: Credit Analysis for Bonds and Bank Debt (paperback) (Applied Corporate Finance),Robert S. Kricheff
Private Equity 4.0: Reinventing Value Creation (The Wiley Finance Series),BenoÃEÂ®t Leleux
"Corporate Finance: The Core, Student Value Edition Plus NEW MyFinanceLab with Pearson eText ---Access Card Package (3rd Edition) (Pearson Series in Finance)",Jonathan Berk
Applied Corporate Finance,Aswath Damodaran
Finance for Executives: Managing for Value Creation,Claude Viallet
Corporate Finance in a Nutshell,Jeffrey Haas
Crowdfunding: The Corporate Era,Dan Marom
Food Truck Funding with Kickstarter (Food Truck Startup Series),Andrew Moorehouse
"Crowdfunding. Overview of the industry, regulation and role of crowdfunding in the venture startup",I. M.
"Banker's Guide to New Small Business Finance, + Website: Venture Deals, Crowdfunding, Private Equity, and Technology (Wiley Finance)",Charles H. Green
"Hacking Kickstarter, Indiegogo: How to Raise Big Bucks in 30 Days: Secrets to Running a Successful Crowd Funding Campaign on a Budget (Updated September 2015)",Patrice Williams Marks
"The Crowdfunding Book: A How-to Book for Entrepreneurs, Writers, and Inventors",Patty Lennon
The CrowdFunding Guide for Authors & Writers,Judith Briles
Keys to the Crowd: Unlocking the Power of Crowdfunding,Brandon/B Taylor/T Adams/A Mr.
Equity Crowdfunding: Transforming Customers into Loyal Owners,Jonathan Frutkin
Crowdfunding on Steroids: General Solicitation under Rule 506(c) (Private Placement Law Series) (Volume 4),Douglas Slain
The Kickstarters guide to the galaxy: A unique insight into the world of crowd funding (Guides to the Galaxy) (Volume 1),Mr Mark Antony Cronin
"Business Funding Secrets: How to Get Small Business Loans, Crowd Funding, Loans (Quick Guide) (Volume 1)",Boomy Tokan
"The Crowd Funding Services Handbook: Raising the Money You Need to Fund Your Business, Project, or Invention (Wiley Finance)",Jason R. Rich
"eBay Business Expert: How to Grow your Business with the Power of Email Marketing, Social Media, and Crowdfunding with Kickstarter (Volume 3)",Nick Vulich
Kickstarter Success Secrets,J. Alexander Greenwood
How to Get Funding on Kickstarter: Managing an Effective Fundraising Campaign,James Dunst
How to Make the Most of Crowdsourcing by Creating a Crowdfunding Campaign: A Step-by-Step Method for Growing Your Market Share by Creating and Implementing a Crowdfunding Campaign,Xavier Zimms
Crowdfunding 67 Success Secrets - 67 Most Asked Questions On Crowdfunding - What You Need To Know,Gloria Bullock
Crowdfunding with Kickstarter: A Beginner's Guide to Crowdfunding Success,Vincent Gallo
Street Smart CEO: Lessons from Failed Startups + Crowdfunding @ InvestP2P.com,Mark William Kanter
"Beyond Bankable: Business Funding for the Modern Entrepreneur: Crowd Funding, Traditional Banking, Bootstrapping, Incubators, Accelerators and Private Equity",Kimberly N. Evans
Podcast Success A Step by Step Guide on Launching Your 1st Podcast,Marcus Johnson
Analyse Des Crowdfunding ALS Alternative Finanzierungsform Fur Start-Ups in Deutschland (German Edition),Anonym
Crowdfunding - Ein Finanzierungsmodell Fur Kulturprojekte? (German Edition),Robert Junge
Crowdfunding als alternative Finanzierungsform in der Musikwirtschaft (German Edition),Victoria GÃ¶tz
Crowdfunding als alternative MÃ¶glichkeit der VermÃ¶gensanlage (German Edition),Torben Bischofberger
Crowdfunding Goes Crowdinvesting (German Edition),Rainer Schenk
Crowdfunding. An Equity Financing Instrument,Johann Gross
Crowdfunding: A New Financing and Investment Alternative,Christine Grabner
"Financial Risk Management: Applications in Market, Credit, Asset and Liability Management and Firmwide Risk (Wiley Finance)",Jimmy Skoglund
Wall Street's Just Not That Into You: An InsiderEEs Guide to Protecting and Growing Wealth,Roger C. Davis
Managing Credit Risk Under The Basel III Framework,Dr. Yat-fai Lam
Security Analysis (100 Page Summaries),Preston Pysh
"Case Studies in Certified Quantitative Risk Management (CQRM): Applying Monte Carlo Risk Simulation, Strategic Real Options, Stochastic Forecasting, ... Business Intelligence, and Decision Modeling",Dr. Johnathan Mun
Model Risk in Financial Markets: From Financial Engineering to Risk Management,Radu Tunaru
Financial Risk Management: A Simple Introduction,K. H. Erickson
Preparing for the Back Nine of Life: A Boomer's Guide to Getting Retirement Ready,Eric Peterson
Risky Rewards: How Company Bonuses Affect Safety,Andrew Hopkins
The Chameleon in the Room: Embrace Business Risk Assure Survival & Growth,Ron Wells CGMA
Financial Management Terminology (Speedy Study Guide),Speedy Publishing LLC
"Good Debt, Bad Debt and a Better Way Forward",Steven A Markowitz
Real Options SLS User Manual,Dr. Johnathan Mun
"Foreign Exchange International Finance Risk Management, 5th Edition",A. V. Rajwade
Enterprise Risk Management: 2nd Edition (Financial Engineering and Risk Management),David L Olson
Swindlers: Cons & Cheats and How to Protect Your Investments from Them,Al Rosen
Tierra de mercaderes (Spanish Edition),ÃEscar Bastanchury BlÃ¡zquez
QFinance: The Ultimate Resource,various
3D Fraud Risk Assessment Model: DInev's SMARTGuide,Dr. Dimiter Petrov Dinev
Super Enrejado Solucionador de Real Options: Manual de Usuario (Spanish Edition),Dr. Johnathan Mun
The 30-Minute Millionaire: The Smart Ways to Achieving Financial Freedom,Peter Tanous
Credit Default Swaps: A Survey (Foundations and Trends(r) in Finance),Patrick Augustin
Financial Risk Management: Manual for Financial Risk Managers,Alexander Solla
Insurance and Risk Management,John Teale
Options Trading: Beginners Guide to Successful Investing with Options,Paul Reed
"Risk, Value and Default (World Scientific Series in Finance)",Oliviero Roggi
A Short Guide to Climate Change Risk (Short Guides to Business Risk) (Short Guides to Risk),Nigel Arnell
A Venture Capital Handbook:: Best Practice Strategies for Investing in Microalgae Biodiesel,David A. Blum DBA
The New Wealth Management: The Financial Advisor's Guide to Managing and Investing Client Assets,Harold Evensky
The All-Weather Retirement Portfolio: Your post-retirement investment guide to a worry-free income for life,Randy L. Thurman
"The 52-Week Low Formula: A Contrarian Strategy that Lowers Risk, Beats the Market, and Overcomes Human Emotion",Luke L. Wiley
"Why Bother With Bonds: A Guide To Build All-Weather Portfolio Including CDs, Bonds, and Bond Funds--Even During Low Interest Rates (How To Achieve Financial Independence)",Rick Van Ness
The Ultimate Hedge Fund Guide: How to Form and Manage a Successful Hedge Fund,Frank Nagy
100 to 1 in the Stock Market: A Distinguished Security Analyst Tells How to Make More of Your Investment Opportunities,Thomas William Phelps
Walk Away Wealthy: The Entrepreneur's Exit-Planning Playbook,Mark Tepper
Advisory Leadership: Using the Seven Steps of Heart Culture to Create Lasting Success for Any Wealth Management Firm,Greg Friedman
"The Financial Times Guide to Wealth Management: How to plan, invest and protect your financial assets (2nd Edition) (FT Guides)",Jason Butler
Riqueza Libre de Impuestos (Spanish Edition),Tom Wheelwright
The Wealth Management Index: The Financial Advisor's System for Assessing & Managing Your Client's Plans & Goals,Ross Levin
Investing Strategies for the High Net-Worth Investor: Maximize Returns on Taxable Portfolios,Niall Gannon
Money Secrets: Keys to Smart Investing,Kim Curtis
The Acorn and the Oak: Choosing the Right Financial Advisor for You,Phil Wood
"Money: Saving Money: Success: Get More Money & Success in Your Life Now!: 3 in 1 Box Set: Money Making Strategies, Saving Money Strategies & World's Best Success",Ace McCloud
"An Investor's Guide to Portfolio Strategy Development: Theory, Techniques, & Know-How For Investors and Advisors",Brandon H. VanLandingham
Breaking Through: Building a World Class Wealth Management Business,John Bowen
"The Tools & Techniques of Charitable Planning, 3rd Edition (Leimberg Library: Tools & Techniques)",Stephan R. Leimberg
Wealth Protection Planning for Dermatologists: Four Lessons on Building Wealth and a Thriving Dermatology Practice,"JD, Dr. David J. Goldberg MD"
The Living Trust Advisor: Everything You (and Your Financial Planner) Need to Know about Your Living Trust,Jeffrey L. Condon
Set It and Don't Forget It: A Simple Guide to Investing,Joseph M Romas
Vault Career Guide to Private Wealth Management  (Vault Career Library),John Ransom
Plateau to Pinnacle: 9 Secrets of a Million Dollar Financial Advisor,Erin Tamberella
The Better Way; A Better Life: A Life Changing Journey for CPAs & Financial Advisors,Harry Pappas Jr. CFPÂ®
Journey to Wealth: A Practical and Mindful Approach to Growing and Sustaining Financial Well-Being,Bonnie S Gortler
Lessons Learned From Leading Entrepreneurs: Case Studies in Business and Entrepreneurship,Todd A. Finkle
The Commissioner: A Guide to Surviving and Thriving on Commission Income,Peter Dunn
The Modern Investor: Why Most Investors Fail and What You Can Do About It,Michael Bonfrisco
The Most Important Lessons in Economics and Finance: A Comprehensive Collection of Time-Tested Principles of Wealth Management,Dr. Anthony M. Criniti IV
"Crucial Accountability: Tools for Resolving Violated Expectations, Broken Commitments, and Bad Behavior, Second Edition ( Paperback)",Kerry Patterson
"StandOut 2.0: Assess Your Strengths, Find Your Edge, Win at Work",Marcus Buckingham
Fundamentals of Human Resource Management,Raymond Noe
Organizational Behavior,Robert Kreitner
Employee Training & Development,Raymond Noe
Value Stream Mapping: How to Visualize Work and Align Leadership for Organizational Transformation,Karen Martin
Strategic Staffing (3rd Edition),Jean M. Phillips
Business Essentials (10th Edition),Ronald J. Ebert
"Telling Ain't Training: Updated, Expanded, Enhanced",Harold D. Stolovitch
"Shifting the Monkey: The Art of Protecting Good People From Liars, Criers, and Other Slackers - a book on school leadership and teacher performance",Todd Whitaker
"Perfect Phrases for Managers and Supervisors, Second Edition (Perfect Phrases Series)",Meryl Runion
The Fifth Discipline Fieldbook: Strategies and Tools for Building a Learning Organization,Peter M. Senge
"HBR's 10 Must Reads on Managing People (with featured article EELeadership That Gets Results,EE by Daniel Goleman)",Harvard Business Review
Negotiation,Roy Lewicki
1501 Ways to Reward Employees,Bob Nelson Ph.D.
"Human Relations in Organizations: Applications and Skill Building, 9th Edition",Robert Lussier
Hiring for Attitude: A Revolutionary Approach to Recruiting and Selecting People with Both Tremendous Skills and Superb Attitude,Mark Murphy
Human Resource Selection,Robert Gatewood
Be a Recruiting Superstar: The Fast Track to Network Marketing Millions,Mary Christensen
Human Resource Management: Essential Perspectives,Robert L. Mathis
"One Page Talent Management: Eliminating Complexity, Adding Value",Marc Effron
Essentials of Negotiation,Roy Lewicki
The Mediator's Handbook: Revised & Expanded Fourth Edition,Jennifer E. Beer
It's All Your Fault!: 12 Tips for Managing People Who Blame Others for Everything,Bill Eddy
"Stop Workplace Drama: Train Your Team to have No Complaints, No Excuses, and No Regrets",Marlene Chism
Changing the Conversation: The 17 Principles of Conflict Resolution,Dana Caspersen
Negotiating at Work: Turn Small Wins into Big Gains,Deborah M. Kolb
Winning Your Rebid: How to Retain Contracts Through Successful Competitive Rebids,Nigel Thacker
Beyond Blame: Learning From Failure and Success,Dave Zwieback
Happy Hour Is 9 to 5,Alexander Kjerulf
Crisis in Organizations II,Laurence Barton
"The Joy of Conflict Resolution: Transforming Victims, Villains and Heroes in the Workplace and at Home",Gary Harper
Applied Crisis Communication and Crisis Management: Cases and Exercises,W. Timothy Coombs
Trump Style Negotiation: Powerful Strategies and Tactics for Mastering Every Deal,George H. Ross
Turning Points in Environmental Negotiation: Exploring Conflict Resolution Dynamics in Domestic and International Cases,William E. Hall
"Good for You, Great for Me: Finding the Trading Zone and Winning at Win-Win Negotiation",Lawrence Susskind
Conflict Across Cultures: A Unique Experience of Bridging Differences,Michelle LeBaron
"The Essential Workplace Conflict Handbook: A Quick and Handy Resource for Any Manager, Team Leader, HR Professional, Or Anyone Who Wants to Resolve Disputes and Increase Productivity",Barbara Mitchell
Winning Em' Over,Jay A. Conger
Change Pain to Gain: The Secrets of Turning Conflict into Opportunity,Patricia McGinnis
Conflict Management and Resolution: An Introduction,Ho-Won Jeong
Handbook of Research on Crisis Leadership in Organizations (Elgar original reference),Andrew J. DuBrin
"The Mind and Heart of the Negotiator, 4th Edition",Leigh L. Thompson
Why Some Companies Emerge Stronger and Better from a Crisis: 7 Essential Lessons for Surviving Disaster,Ian I. Mitroff
"Negotiation Boot Camp: How to Resolve Conflict, Satisfy Customers, and Make Better Deals",Ed Brodow
Common Ground on Hostile Turf: Stories from an Environmental Mediator,Lucy Moore
Managing Conflict in the Family Business: Understanding Challenges at the Intersection of Family and Business (Family Business Leadership),Kent Rhodes
Conflict Resolution: A 21 Point Step by Step Guide to Handling workplace conflict and resolving corporate bullying,Mark Stephens
The Outsourcing Conundrum: A Path to Navigate the Inside-Outsourcing Labyrinth,Damian Scallon
"Payroll Accounting 2015 (with Cengage Learning's Online General Ledger, 2 terms (12 months) Printed Access Card)",Bernard J. Bieg
Human Resource Development,Jon M. Werner
Human Resource Leadership for Effective Schools (5th Edition),John T. Seyfarth
Designing a Successful KM Strategy: A Guide for the Knowledge Management Professional,Stephanie Barnes
"The Connection Algorithm: Take Risks, Defy the Status Quo, and Live Your Passions",Jesse Tevelow
The Knowledge-Creating Company: How Japanese Companies Create the Dynamics of Innovation,Ikujiro Nonaka
"Profit from Science: Solving Business Problems Using Data, Math, and the Scientific Process",George Danner
The New Edge in Knowledge: How Knowledge Management Is Changing the Way We Do Business,Carla O'Dell
Vision to Reality: How Short Term Massive Action Equals Long Term Maximum Results,Honoree Corder
"Mastermind Group Blueprint: How to Start, Run, and Profit from Mastermind Groups",Tobe Brockner
Be Bad First: Get Good at Things Fast to Stay Ready for the Future,Erika Andersen
Fundamentals of Patenting and Licensing for Scientists and Engineers (2nd Edition),Matthew Y Ma
Authentic Selling: How to boost your sales performance by being yourself,Guy Anastaze
The Complete Guide to Knowledge Management: A Strategic Plan to Leverage Your Company's Intellectual Capital,Edna Pasher
Mastering Organizational Knowledge Flow: How to Make Knowledge Sharing Work,Frank Leistner
Shaping Knowledge: Complex Socio-Spatial Modelling for Adaptive Organizations (Chandos Information Professional Series),Jamie O'Brien
Education Matters: Global Schooling Gains from the 19th to the 21st Century,Robert J. Barro
Dynamic Capabilities: Understanding Strategic Change in Organizations,Constance E. Helfat
The Innovator's Way: Essential Practices for Successful Innovation,Peter J. Denning
Information Bombardment: Rising Above the Digital Onslaught,Nick Bontis PhD
Comparative Causal Mapping: The Cmap3 Method,Mauri Laukkanen
The Future of Industrial Man,Peter F. Drucker
Drucker on Marketing: Lessons from the World's Most Influential Business Thinker,William Cohen
The Flight of the Creative Class: The New Global Competition for Talent,Richard Florida
World Monarchies and Dynasties,John Middleton
Offshoring of American Jobs: What Response from U.S. Economic Policy? (Alvin Hansen Symposium on Public Policy at Harvard University),Jagdish N. Bhagwati
Linked: The New Science of Networks,Albert-Laszlo Barabasi
Redefining KM: New Principles for Better Practice,David Griffiths
"Gray Markets: Prevention, Detection and Litigation",David R. Sugden
The Knowledge Entrepreneur,Stan Skrzeszewski
Knowledge Management: An Introduction,Kevin C. Desouza
Poorly Made in China: An Insider's Account of the China Production Game,Paul Midler
Business Process Outsourcing 2:2nd (Second) edition,Barbara Murphy Melby Halvey
"Global Software and IT: A Guide to Distributed Development, Projects, and Outsourcing",Christof Ebert
Crowdsourcing (The MIT Press Essential Knowledge series),Daren C. Brabham
"The Outsourcing Enterprise: From Cost Management to Collaborative Innovation (Technology, Work and Globalization)",Leslie P. Willcocks
Strategic Sourcing in the New Economy: Harnessing the Potential of Sourcing Business Models for Modern Procurement,Bonnie Keith
Crowdsourcing For Dummies,David Alan Grier
Outsource Smart:  Be Your Own Boss . . . Without Letting Your Business Become the Boss of You,Daven Michaels
The Birth of a New Workforce: 21st-Century Strategies That Will Revolutionize Your Business,Randall W. Hatcher
Outsourcing and Management: Why the Market Benchmark Will Topple Old School Management Styles,Thomas Nelson Tunstall
The Rise of the Naked Economy: How to Benefit from the Changing Workplace,Ryan Coonerty
The Handbook of Global Outsourcing and Offshoring: 2nd Edition,Ilan Oshri
Information Systems and Outsourcing: Studies in Theory and Practice,Leslie P. Willcocks
Managing Your Outsourced IT Services Provider: How to Unleash the Full Potential of Your Global Workforce,Venkatesh Upadrista
Outsourcing War and Peace: Preserving Public Values in a World of Privatized Foreign Affairs,Laura A. Dickinson
Emerging ITO and BPO Markets: Rural Sourcing and Impact Sourcing,Mary C. Lacity
Outsourcing America: The True Cost of Shipping Jobs Overseas and What Can Be Done About It,Ron Hira Ph.D.  P.E. Assistant Professor of Public Policy
Executive in Sweatpants: A Handbook for Launching Your Work from Home Career,Matt Keener
"The Open Incubator Model: Entrepreneurship, Open Innovation, and Economic Development in the Periphery",Ilan Bijaoui
"Freelance Nation: Work When You Want, Where You Want. How to Start a Freelance Business.",J. Melissa Cooper SPHR  PHR
Nine Keys to World-Class Business Process Outsourcing,Mary Lacity
"Global Outsourcing: Executing an Onshore, Nearshore or Offshore Strategy",Marcia Robinson
Intelligent Systems for Automated Learning and Adaptation: Emerging Trends and Applications (Premier Refernece Source),Raymond Chiong
7 Attributes of Highly Effective Development Vendors E-Learning,William V. West
Outsourcing Training and Development: Factors for Success,Judith Hale
Successful Outsourcing and Multi-Sourcing,Derek Parlour
Globalization Wisdom: The Seven Secrets of Great Globalizers,Atul Vashistha
The Lean Six Sigma Pocket Toolbook: A Quick Reference Guide to 100 Tools for Improving Quality and Speed,Michael L. George
Moneyball: The Art of Winning an Unfair Game,Michael Lewis
"On Cooking: A Textbook of Culinary Fundamentals, 5th Edition",Sarah R. Labensky
Billion-Dollar Ball: A Journey Through the Big-Money Culture of College Football,Gilbert M. Gaul
Raise the Bar: An Action-Based Method for Maximum Customer Reactions,Jon Taffer
"This is Service Design Thinking: Basics, Tools, Cases",Marc Stickdorn
"How to Raise Cattle: Everything You Need to Know, Updated & Revised (FFA)",Philip Hasheider
The Toyota Way to Lean Leadership:  Achieving and Sustaining Excellence through Leadership Development,Jeffrey Liker
"The Toyota Product Development System: Integrating People, Process And Technology",James M. Morgan
The People's Tycoon: Henry Ford and the American Century,Steven Watts
Maserati: A Century of History The Official Book,Luca Dal Monte
A Savage Factory: An Eyewitness Account of the Auto Industry's Self-Destruction,Robert J. Dewar
"Driven: Inside BMW, the Most Admired Car Company in the World",David Kiley
Driven to Delight: Delivering World-Class Customer Experience the Mercedes-Benz Way,Joseph Michelli
"Car Safety Wars: One Hundred Years of Technology, Politics, and Death",Michael R. Lemov
"Storied Independent Automakers: Nash, Hudson, and American Motors (Great Lakes Books Series)",Charles K. Hyde
My Forty Years with Ford (Great Lakes Books Series),Charles E Sorensen
Service Management Made Simple,Gregory J Marchand
"Mondo Agnelli: Fiat, Chrysler, and the Power of a Dynasty",Jennifer Clark
Arsenal of Democracy: The American Automobile Industry in World War II (Great Lakes Books Series),Charles K. Hyde
"Bottled Lightning: Superbatteries, Electric Cars, and the New Lithium Economy",Seth Fletcher
Inside China's Automobile Factories: The Politics of Labor and Worker Resistance,Lu Zhang
The Art of Welding: Featuring Ryan Friedlinghaus of West Coast Customs,William Galvery
Formula 1: Technical Analysis 2012/2013,Giorgio Piola
Sloan Rules: Alfred P. Sloan and the Triumph of General Motors,David Farber
Car Crazy: The Battle for Supremacy between Ford and Olds and the Dawn of the Automobile Age,G. Wayne Miller
"Accelerate the Sale: Kick-Start Your Personal Selling Style to Close More Sales, Faster",Mark Rodgers
American Turnaround: Reinventing AT&T and GM and the Way We Do Business in the USA,Edward Whitacre
Winnebago Nation: The RV in American Culture,James B. Twitchell
"Once Upon a Car: The Fall and Resurrection of America's Big Three Automakers--GM, Ford, and Chrysler",Bill Vlasic
Punching Out: One Year in a Closing Auto Plant,Paul Clemens
Tata: The Evolution of a Corporate Brand,Morgen Witzel
Extreme Toyota: Radical Contradictions That Drive Success at the World's Best Manufacturer,Emi Osono
Demonstrating To Win!: The Indispensable Guide for Demonstrating Complex Products,Robert Riefstahl
"Project Economics and Decision Analysis, Volume 2: Probabilistic Models",M. A. Mian
Routes of Power: Energy and Modern America,Christopher F. Jones
Disastrous Decisions: The Human and Organisational Causes of the Gulf of Mexico Blowout,Andrew Hopkins
"Electricity Markets: Pricing, Structures and Economics",Chris Harris
The First Billion Is the Hardest: Reflections on a Life of Comebacks and America's Energy Future,T. Boone Pickens
"International Energy Markets: Understanding Pricing, Policies, and Profits",Carol A. Dahl
Wheel of Fortune: The Battle for Oil and Power in Russia,Thane Gustafson
Coal and Empire: The Birth of Energy Security in Industrial America,Peter A. Shulman
The Greatest Gamblers: The Epic of American Oil Exploration,Ruth Sheldon Knowles
Big Coal: Australia's Dirtiest Habit,Guy Pearse
Mining Capitalism: The Relationship between Corporations and Their Critics,Stuart Kirsch
Twilight in the Desert: The Coming Saudi Oil Shock and the World Economy,Matthew R. Simmons
The Economics of Electricity Markets: Theory and Policy (The Loyola de Palacio Series on European Energy Policy),Pippo Ranci
"Regulating Public Utility Performance: The Law of Market Structure, Pricing and Jurisdiction",Scott Hempling
Renewable Energy Finance: Powering the Future,Charles W Donovan
"Pedaling the Sacrifice Zone: Teaching, Writing, and Living above the Marcellus Shale (The Seventh Generation: Survival, Sustainability, Sustenance in a New Nature)",Jimmy Guignard
Electricity Economics: Regulation and Deregulation,Geoffrey Rothwell
Learning from High Reliability Organisations,Andrew Hopkins
Natural Gas: Fuel for the 21st Century,Vaclav Smil
Rethinking Prestige Branding: Secrets of the Ueber-Brands,Wolfgang Schaefer
"Where am I Wearing: A Global Tour to the Countries, Factories, and People That Make Our Clothes",Kelsey Timmerman
"Retail Buying: From Basics to Fashion, 4th Edition",Richard Clodfelter
"The Business of Fashion: Designing, Manufacturing and Marketing",Leslie Davis Burns
Bare Essentials: Underwear: Construction and Pattern Drafting for Lingerie Design,Jennifer Lynne Matthews-Fairbanks
"Pattern Cutting for Lingerie, Beachwear and Leisurewear",Ann Haggar
Visual Merchandising and Display,Martin M. Pegler
Apparel Production Management and the Technical Package,Paula J. Myers-McDevitt
Functional Clothing Design: From Sportswear to Spacesuits,Susan Watkins
"Red, White, and Black Make Blue: Indigo in the Fabric of Colonial South Carolina Life",Andrea Feeser
Concepts of Pattern Grading: Techniques for Manual and Computer Grading,Kathy K. Mullet
Style Wise: A Practical Guide to Becoming a Fashion Stylist,Shannon Burns
The Fashion Careers Guidebook: A Guide to Every Career in the Fashion Industry and How to Get It,Julia Yates
Understanding Aesthetics for the Merchandising and Design Professional,Ann Marie Fiore
The Fairchild Dictionary of Fashion (3rd Edition),Charlotte Mankey Calasibetta
Technical Sourcebook for Designers,Jaeil Lee
"One Tough Mother: Taking Charge in Life, Business, and Apple Pies",Gert Boyle
Rethinking Luxury: How to Market Exclusive Products in an Ever-Changing Environment,Martin Wittig
"Fixing Fashion: Rethinking the Way We Make, Market and Buy Our Clothes",Michael Lavergne
A Buyer's Life: A Concise Guide to Retail Planning and Forecasting,Dana Connell
Sonia Kashuk Real Beauty,Sonia Kashuk
Fashion Is Spinach: How to Beat the Fashion Racket,Elizabeth Hawes
Bad Paper: Inside the Secret World of Debt Collectors,Jake Halpern
The E-Myth Financial Advisor (E-Myth Expert),Michael E. Gerber
"Bye Bye Banks?: How Retail Banks are Being Displaced, Diminished and Disintermediated by Tech Startups and What They Can Do to Survive",James Haycock
"The Mortgage Wars: Inside Fannie Mae, Big-Money Politics, and the Collapse of the American Dream",Timothy Howard
Criminal Capital: How the Finance Industry Facilitates Crime,Stephen Platt
Financial Analyst's Indispensable Pocket Guide,Ram Ramesh
Open Secret: The Global Banking Conspiracy That Swindled Investors Out of Billions,Erin Arvedlund
"Technology Tools for Today's High-Margin Practice: How Client-Centered Financial Advisors Can Cut Paperwork, Overhead, and Wasted Hours",David J. Drucker
Institutional Equities and the Broker Dealer: An Introduction,Michael J. Green
Til Money Do Us Part: Financial Planning for Couples,Maureen Richardson
How to Pick Stocks Like Warren Buffett: Profiting from the Bargain Hunting Strategies of the World's Greatest Value Investor,Timothy Vick
Marketing Financial Services: Second Edition,Jillian Farquhar
"How Elite Advisors GROW!: PROVEN, TRUST-BASED,  FINANCIAL ADVISOR MARKETING to Be Better, Do Better And Get More Clients",Mitchell Levin
Roadmap to Financial Freedom,"ChFCCLU James K. ""Skip"" Nichols"
A Financial Tale of Two Cities: Sydney and Melbourne's Remarkable Contest for Commercial Supremacy,Jim Bain
Networking with the Affluent,Thomas J. Stanley
Independent Financial Planning: Your Ultimate Guide to Finding and Choosing the Right Financial Planner,Mike Garry
Microfinance for Bankers and Investors: Understanding the Opportunities and Challenges of the Market at the Bottom of the Pyramid,Elisabeth Rhyne
The Business of Banking: An Introduction to the Modern Financial Services Industry,Keith Pond
Life Insurance in Asia: Sustaining Growth in the Next Decade,Stephan Binder
Financial Administration in India,Sanjeev Kumar Mahajan
Dangerous Company: The Consulting Powerhouses and the Businesses They Save and Ruin,James O'Shea
The Negro in the Banking Industry (Material Texts),Armand J. Thieblot  Jr.
2014 Cfa Level I Certification Examwise Volume 2 the Candidates Question & Answer Workbook for Chartered Financial Analyst Exam with Download Software,Jane Vessey
Financial Services: Investigations and Enforcement: Third Edition,Freshfields Bruckhaus Deringer
"Advanced Financial Planning Certificate - G80: Long-Term Care, Life and Health Protection: Study Text (2002)",BPP
Advanced Financial Planning Certificate: Pensions G60,BPP
Introduction to Hospitality (6th Edition),John R. Walker
Foodservice Management: Principles and Practices (13th Edition),June Payne-Palacio Ph.D.  RD
Restaurant Owners Uncorked: Twenty Owners Share Their Recipes for Success,Wil Brawley
The Uniform System of Accounts for Restaurants (8th Edition),National Restaurant Association
The Complete Idiot's Guide to Starting And Running A Coffeebar (Idiot's Guides),Linda Formichelli
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),Sarah R. Labensky
Restaurant Financial Basics,Raymond S. Schmidgall
Start Your Own Event Planning Business: Your Step-By-Step Guide to Success (StartUp Series),The Staff of Entrepreneur Media
Lean Office and Service Simplified: The Definitive How-To Guide,Drew Locher
"The Certified Quality Engineer Handbook, Third Edition",Connie M. Borror
Makers: The New Industrial Revolution,Chris Anderson
"The Kaizen Event Planner: Achieving Rapid Improvement in Office, Service, and Technical Environments",Karen Martin
Root Cause Analysis: The Core of Problem Solving and Corrective Action,Duke Okes
"Meet You in Hell: Andrew Carnegie, Henry Clay Frick, and the Bitter Partnership That Changed America",Les Standiford
"Machine Shop Trade Secrets: A Guide to Manufacturing Machine Shop Practices, 2nd Edition",James Harvey
Lean Product and Process Development,Allen C. Ward
The Lean Manager: A Novel of Lean Transformation,Michael Balle
Lean Production for Competitive Advantage: A Comprehensive Guide to Lean Methodologies and Management Practices,John Nicholas
Well Built: Inspiring Stories from the Boardroom to the Frontline,Bob Buck
"Uptime: Strategies for Excellence in Maintenance Management, Third Edition",John D. Campbell
The Basics of Hoshin Kanri,Randy K. Kesterson
Building Quality Management Systems: Selecting the Right Methods and Tools,Luis Rocha-Lona
Exit Zero: Family and Class in Postindustrial Chicago,Christine J. Walley
Turbo Flow: Using Plan for Every Part (PFEP) to Turbo Charge Your Supply Chain,Tim Conrad
Visual Workplace/Visual Thinking: Creating Enterprise Excellence through the Technologies of the Visual Workplace,Gwendolyn D. Galsworth
The Lean Design Guidebook: Everything Your Product Development Team Needs to Slash Manufacturing Cost (The Lean Guidebook Series),Ronald Mascitelli
