title,author,groups,maxgroup
No Easy Day: The Firsthand Account of the Mission that Killed Osama Bin Laden,Mark Owen,3,3
"The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL",Eric Greitens Navy SEAL,1,1
"Level Zero Heroes: The Story of U.S. Marine Special Operations in Bala Murghab, Afghanistan",Michael Golembesky,4,4
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,3,3
Devil at My Heels: A Heroic Olympian's Astonishing Story of Survival as a Japanese POW in World War II,Louis Zamperini,6,6
Flags of Our Fathers,James Bradley,7,7
Infidel,Ayaan Hirsi Ali,2,2
A Fighting Chance,Elizabeth Warren,5,5
The Autobiography of Eleanor Roosevelt,Eleanor Roosevelt,5,5
The Speechwriter: A Brief Education in Politics,Barton Swaim,1,1
The Triumph of William McKinley: Why the Election of 1896 Still Matters,Karl Rove,4,4
Empire and Revolution: The Political Life of Edmund Burke,Richard Bourke,5,5
Michelle Obama: A Life,Peter Slevin,1,1
Henry Clay: America's Greatest Statesman,Harlow Giles Unger,5,5
Theodore Rex,Edmund Morris,4,4
Hissing Cousins: The Untold Story of Eleanor Roosevelt and Alice Roosevelt Longworth,Marc Peyser,2,2
Thomas Jefferson: Author of America (Eminent Lives),Christopher Hitchens,5,5
Confessions (Oxford World's Classics),Saint Augustine,2,2
An Altar in the World: A Geography of Faith,Barbara Brown Taylor,"4,0",4
A Severe Mercy,Sheldon Vanauken,5,5
A Million Miles in a Thousand Years: How I Learned to Live a Better Story,Donald Miller,0,0
"The Boy Born Dead: A Story of Friendship, Courage, and Triumph",David Ring,1,1
The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Brother Yun,1,1
Rees Howells: Intercessor,Norman Percy Grubb,0,0
Confessions (Penguin Classics),Saint Augustine,6,6
90 Minutes in Heaven: A True Story of Death and Life,Don Piper,6,6
The Irresistible Revolution: Living as an Ordinary Radical,Shane Claiborne,2,2
Walking with Mary: A Biblical Journey from Nazareth to the Cross,Edward Sri,0,0
Mother Teresa: Come Be My Light: The Private Writings of the Saint of Calcutta,Mother Teresa,5,5
My Sisters the Saints: A Spiritual Memoir,Colleen Carroll Campbell,0,0
Autobiography of a Yogi,Paramahansa Yogananda,5,5
The Bridge Builder: The Life and Continuing Legacy of Rabbi Yechiel Eckstein,Zev Chafets,7,7
Walden,Henry David Thoreau,6,6
Not a Game: The Incredible Rise and Unthinkable Fall of Allen Iverson,Kent Babb,5,5
Good Mourning,Elizabeth Meyer,5,5
Marella Agnelli: The Last Swan,Marella Agnelli,5,5
Careless Love: The Unmaking of Elvis Presley,Peter Guralnick,7,7
Billy Joel,Fred Schruers,6,6
"Yesterday, Today, Tomorrow: My Life",Sophia Loren,0,0
Princess: A True Story of Life Behind the Veil in Saudi Arab,Jean Sasson,0,0
The Six Wives of Henry VIII,Alison Weir,4,4
The Queen's Houses,Alan Titchmarsh,2,2
The Children of Henry VIII,Alison Weir,5,5
Isabella: The Warrior Queen,Kirstin Downey,6,6
The Last Days of the Romanovs: Tragedy at Ekaterinburg,Helen Rappaport,6,6
Eleanor of Aquitaine: A Life (Ballantine Reader's Circle),Alison Weir,5,5
Long to Reign Over Us: Official Souvenir Album,Leah Kharibian,2,2
Queen of Scots: The True Life of Mary Stuart,John Guy,1,1
She-Wolves: The Women Who Ruled England Before Elizabeth,Helen Castor,"5,0",5
The Life and Death of Anne Boleyn,Eric Ives,5,5
Diana,Andrew Morton,6,6
Georgiana: Duchess of Devonshire,Amanda Foreman,6,6
Napoleon: Soldier of Destiny,Michael Broers,1,1
Ambition and Desire: The Dangerous Life of Josephine Bonaparte,Kate Williams,2,2
Imprudent King: A New Life of Philip II,Geoffrey Parker,"5,0",5
"George, Nicholas and Wilhelm: Three Royal Cousins and the Road to World War I",Miranda Carter,2,2
"The Tigress of Forli: Renaissance Italy's Most Courageous and Notorious Countess, Caterina Riario Sforza de' Medici",Elizabeth Lev,5,5
The Swan King: Ludwig II of Bavaria,Christopher McIntosh,5,5
Secrets of Dethroned Royalty,Princess Catherine Radziwill,6,6
Alice: Princess Andrew of Greece,Hugo Vickers,6,6
Augustus: First Emperor of Rome,Adrian Goldsworthy,7,7
One Thousand Wells: How an Audacious Goal Taught Me to Love the World Instead of Save It,Jena Lee Nardella,0,0
"Writing My Wrongs: Life, Death, and Redemption in an American Prison",Shaka Senghor,5,5
Black Prophetic Fire,Cornel West,0,0
Toward a Natural Forest: The Forest Service in Transition (A Memoir),Jim Furnish,4,4
Death of a King: The Real Story of Dr. Martin Luther King Jr.'s Final Year,Tavis Smiley,6,6
Clifton's and Clifford Clinton: A Cafeteria and a Crusader,Edmond Clinton,6,6
"Remnants: A Memoir of Spirit, Activism, and Mothering",Rosemarie Freeney Harding,6,6
Ghetto Brother: Warrior to Peacemaker (Biographies),Julian Voloj,4,4
I Am Troy Davis,Jen Marlowe,3,3
"Rosalie Edge, Hawk of Mercy: The Activist Who Saved Nature from the Conservationists (Wormsloe Foundation Nature Book)",Dyana Furmansky,0,0
Dispatches from Pluto: Lost and Found in the Mississippi Delta,Richard Grant,5,5
Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,7,7
"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World (Random House Reader's Circle)",Tracy Kidder,0,0
Learning to Breathe: One Woman's Journey of Spirit and Survival,Alison Wright,5,5
"Google Speaks: Secrets of the World's Greatest Billionaire Entrepreneurs, Sergey Brin and Larry Page",Janet Lowe,3,3
"For You Mom, Finally",Ruth Reichl,0,0
Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before,Tony Horwitz,0,0
The Water Is Wide: A Memoir,Pat Conroy,6,6
The Secret Lives of Teachers,Anonymous,4,4
Work Hard. Be Nice.: How Two Inspired Teachers Created the Most Promising Schools in America,Jay Mathews,1,1
Soul Survivor: How Thirteen Unlikely Mentors Helped My Faith Survive the Church,Philip Yancey,2,2
The Death Class: A True Story About Life,Erika Hayasaki,6,6
Maria Montessori: A Biography (Radcliffe Biography Series),Rita Kramer,1,1
I'd Like to Apologize to Every Teacher I Ever Had: My Year as a Rookie Teacher at Northeast High,Tony Danza,3,3
Finding Mrs. Warnecke: The Difference Teachers Make,Cindi Rigsbee,5,5
"Tim Gunn: The Natty Professor: A Master Class on Mentoring, Motivating, and Making It Work!",Tim Gunn,3,3
I Will Bear Witness 1942-1945: A Diary of the Nazi Years,Victor Klemperer,5,5
A Personal Odyssey,Thomas Sowell,4,4
"Where a Man Stands: Two Different Worlds, an Impossible Situation, and the Unexpected Friendship that Changed Everything",Carter Paysinger,2,2
The Kids from Nowhere,George Guthridge,6,6
Fireweed: A Political Autobiography,Gerda Lerner,5,5
Things I've Been Silent About: Memories of a Prodigal Daughter,Azar Nafisi,3,3
"Heading South to Teach: The World of Susan Nye Hutchison, 1815-1845",Kim Tolley,0,0
Henry Maurice Goldman: Dental Educator and Pioneer,Robert Allyn Goldman,2,2
Strings Attached,Joanne Lipman,6,6
The Carry Home,Gary Ferguson,4,4
Cathedral of the Wild: An African Journey Home,Boyd Varty,2,2
At Home with Beatrix Potter: The Creator of Peter Rabbit,Susan Denyer,4,4
"In the Shadow of the Sabertooth: Global Warming, the Origins of the First Americans, and the Terrible Beasts of the Pleistocene (Counterpunch)",Doug Peacock,5,5
"Walden, and  On the Duty of Civil Disobedience",Henry David Thoreau,5,5
The Autobiography of Charles Darwin: 1809-1882,Charles Darwin,2,2
"Don't Look Behind You!: A Safari Guide's Encounters With Ravenous Lions, Stampeding Elephants, And Lovesick Rhinos",Peter Allison,2,2
Life and Death in the North Woods: The Story of the Maine Game Warden Service,Eric Wight,0,0
Dirt Work: An Education in the Woods,Christine Byl,3,3
A Naturalist's Voyage Round the World: The Voyage of the Beagle,Charles Darwin,4,4
"Sunny Skies, Shady Characters: Cops, Killers, and Corruption in the Aloha State (A Latitude 20 Book)",James Dooley,6,6
"True Story: Murder, Memoir, Mea Culpa",Michael Finkel,5,5
In the Sanctuary of Outcasts: A Memoir (P.S.),Neil White,6,6
In the Skin of a Jihadist: A Young Journalist Enters the ISIS Recruitment Network,Anna Erelle,7,7
Chronicles of Wasted Time,Malcolm Muggeridge,6,6
"Current Diagnosis & Treatment Obstetrics & Gynecology, Eleventh Edition (LANGE CURRENT Series)",Alan DeCherney,5,5
The Glass Castle: A Memoir,Jeanette Walls,0,0
Boy Kings of Texas: A Memoir,Domingo Martinez,4,4
Canoeing with the Cree,Eric Severeid,5,5
A Loss for Words: The Story of Deafness in a Family,Lou Ann Walker,7,7
A Drinking Life: A Memoir,Pete Hamill,6,6
"The News Sorority: Diane Sawyer, Katie Couric, Christiane Amanpour-and the (Ongoing, Imperfect, Complicated) Triumph of Women in TV News",Sheila Weller,7,7
"Love Is a Mix Tape: Life and Loss, One Song at a Time",Rob Sheffield,"5,0",5
"Working Stiff: Two Years, 262 Bodies, and the Making of a Medical Examiner",Judy Melinek  MD MD,3,3
Out on Foot: Nightly Patrols and Ghostly Tales of a U.S. Border Patrol Agent,Rocky Elmore,7,7
"On The Fringe Of History: A riveting behind-the-scenes look at the war on drugs and terrorism from a ""fed"" who fought the fight",Sarge Hoteko,1,1
In the Secret Service: The True Story of the Man Who Saved President Reagan's Life,Jerry Parr,3,3
Ruby Ridge: The Truth and Tragedy of the Randy Weaver Family,Jess Walter,3,3
Stalling for Time: My Life as an FBI Hostage Negotiator,Gary Noesner,6,6
The Dark Art: My Undercover Life in Global Narco-terrorism,Edward Follis,6,6
The Streets Are Blue: True Tales of Service from the Front Lines of the Los Angeles Police Department,Gary Farmer,0,0
Answering 911: Life in the Hot Seat,Caroline Burau,0,0
Running with the Firm: My Double Life as an Undercover Hooligan,James Bannon,6,6
Outwitting the Gestapo,Lucie Aubrac,6,6
Busted: A Tale of Corruption and Betrayal in the City of Brotherly Love,Wendy Ruderman,6,6
J. Edgar Hoover: The Man and the Secrets,Curt Gentry,0,0
The Turnaround: How America's Top Cop Reversed the Crime Epidemic,William Bratton,"4,2",4
Stories of Faith and Courage from Cops on the Street (Battlefields & Blessings),Carman Grant Wolf,2,2
Jesus Christ on Killing,Sgt Charlie Eipper,6,6
"Brotherhood of Corruption: A Cop Breaks the Silence on Police Abuse, Brutality, and Racial Profiling",Juan Antonio Juarez,3,3
Eliot Ness: The Rise and Fall of an American Hero,Douglas Perry,0,0
"In The Shadow Of a Badge: A Memoir about Flight 93, a Field of Angels, and My Spiritual Homecoming",Lillie Leonardi,5,5
The Company We Keep: A Husband-and-Wife True-Life Spy Story,Robert Baer,6,6
Learned Hand: The Man and the Judge,Gerald Gunther,1,1
Circle of Greed: The Spectacular Rise and Fall of the Lawyer Who Brought Corporate America to Its Knees,Patrick Dillon,0,0
"Call the Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,"7,1",7
Not Fade Away: A Short Life Well Lived,Laurence Shames,6,6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Mary J MacLeod,0,0
Suffering the Silence: Chronic Lyme Disease in an Age of Denial,Allie Cashel,0,0
No Boundaries The Book: A True Sory of Hope and Promise,Rob Thomas,6,6
Wondering Who You Are: A Memoir,Sonya Lea,6,6
"Gift of Pain, The",Paul Brand,5,5
In the Land of Invisible Women: A Female Doctor's Journey in the Saudi Kingdom,Qanta Ahmed ,2,2
The Hero's Journey: Joseph Campbell on His Life and Work (The Collected Works of Joseph Campbell),Joseph Campbell,5,5
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"2,3",2
How to Live: Or A Life of Montaigne in One Question and Twenty Attempts at an Answer,Sarah Bakewell,2,2
Living with the Himalayan Masters,Swami Rama,6,6
The Portable Karl Marx (Portable Library),Karl Marx,4,4
Dewey (The Routledge Philosophers),Steven Fesmire,0,0
Derrida For Beginners,Jim Powell,2,2
Foucault For Beginners,Lydia Alix Fillingham,6,6
Betraying Spinoza: The Renegade Jew Who Gave Us Modernity (Jewish Encounters Series),Rebecca Goldstein,3,3
"Me, mySelf & Dion Fortune",Mr Alan Richardson,5,5
Nietzsche,Lou Salome,1,1
The Great Infidel: A Life of David Hume,Roderick Graham,1,1
Being and Some Philosophers,Etienne Gilson,6,6
Miyamoto Musashi: His Life and Writings,Kenji Tokitsu,5,5
Plato: A Very Short Introduction,Julia Annas,6,6
Eric Hoffer: The Longshoreman Philosopher (Hoover Institution Press Publication),Tom Bethell,1,1
Nietzsche: A Very Short Introduction,Michael Tanner,5,5
Kierkegaard - Arg Philosophers (Arguments of the Philosophers),Hannay,6,6
"Diogenes Laertius: Lives of Eminent Philosophers, Volume II, Books 6-10 (Loeb Classical Library No. 185)",Diogenes Laertius,6,6
Moral Agents: Eight Twentieth-Century American Writers,Edward Mendelson,5,5
Karl Marx: A Nineteenth-Century Life,Jonathan Sperber,1,1
The Nightmare of Reason: A Life of Franz Kafka,Ernst Pawel,5,5
Clausewitz: Philosopher of War,Raymond Aron,2,2
Kant: A Biography,Manfred Kuehn,"2,0",2
Travelling to Infinity: The True Story Behind The Theory of Everything,Jane Hawking,3,3
Wizard: The Life and Times of Nikola Tesla : Biography of a Genius (Citadel Press Book),Marc Seifer,1,1
Tesla: Man Out of Time,Margaret Cheney,4,4
Isaac Newton,James Gleick,6,6
Einstein: The Life of a Genius,Walter Isaacson,1,1
"Birdmen: The Wright Brothers, Glenn Curtiss, and the Battle to Control the Skies",Lawrence Goldstone,2,2
Second Sight: An Intuitive Psychiatrist Tells Her Extraordinary Story and Shows You How to Tap Your Own Inner Wisdom,Judith Orloff,5,5
Marx for Beginners,Rius,2,2
Rule Number Two: Lessons I Learned in a Combat Hospital,Heidi Squier Kraft,1,1
White Matter: A Memoir of Family and Medicine,Janet Sternburg,6,6
"Katherine and Isabel: Mother's Light, Daughter's Journey",Frances Wright Saunders,1,1
Freud: A Life for Our Time,Peter Gay,0,0
"An Anatomy of Addiction: Sigmund Freud, William Halsted, and the Miracle Drug, Cocaine",Howard Markel,0,0
"Archaeology, Sexism, and Scandal: The Long-Suppressed Story of One Woman's Discoveries and the Man Who Stole Credit for Them",Alan Kaiser,1,1
The Fractalist: Memoir of a Scientific Maverick,Benoit Mandelbrot,5,5
REVISION: AUTOETHNOGRAPHIC REFLECTIONS ON LIFE AND WORK (Writing Lives),Carolyn Ellis,"0,4",0
To Cherish the Life of the World: The Selected Letters of Margaret Mead,Margaret Caffrey,5,5
"Haiti: The God of Tough Places, the Lord of Burnt Men",Richard Frechette,0,0
The Forgotten Founding Father: Noah Webster's Obsession and the Creation of an American Culture,Joshua Kendall,4,4
Joseph Campbell: A Fire in the Mind,Stephen Larsen,6,6
Crazy: Notes On And Off The Couch,Rob Dobrenski,5,5
The Illustrated World Encyclopedia of Saints,Tessa Paul,2,2
History's People: Personalities and the Past (CBC Massey Lectures),Margaret MacMillan,6,6
"Uncommon Friends: Life with Thomas Edison, Henry Ford, Harvey Firestone, Alexis Carrel, and Charles Lindbergh",James Newton,2,2
The Fortunate Pilgrim,Mario Puzo,"5,4",5
Victory: Stories From the Winners' Circle,Jenae Noonan,0,0
"Badass: Ultimate Deathmatch: Skull-Crushing True Stories of the Most Hardcore Duels, Showdowns, Fistfights, Last Stands, Suicide Charges, and Military Engagements of All Time (Badass Series)",Ben Thompson,5,5
KISS: Behind the Mask - The Official Authorized Biography,David Leaf,5,5
Disney,Edwin Woodgate,6,6
"Leah Chase: Listen, I Say Like This",Carol Allen,7,7
The Lady and the Panda: The True Adventures of the First American Explorer to Bring Back China's Most Exotic Animal,Vicki Croke,5,5
Interview With History,Oriana Fallaci,6,6
The Happy Hooker: My Own Story,Xaviera Hollander,5,5
"Plutarch Lives, VII, Demosthenes and Cicero. Alexander and Caesar (Loeb Classical Library) (Volume VII)",Plutarch,5,5
Famous Men of Greece (Greenleaf Press),John H Haaren,2,2
"Mad, Bad and Dangerous: The Eccentricity of Tyrants",Tom Ambrose,6,6
Butler's Lives of the Saints (4 Volume Set),Alban Butler,2,2
Devil's Disciple: The Deadly Dr. H.H. Holmes,Judy Snavely,6,6
The Complete Royal Families of Ancient Egypt (The Complete Series),Aidan Dodson,2,2
Out of the Woods: A True Story of an Unforgettable Event,Rebecca Bond,6,6
Chris Chelios: Made in America,Chris Chelios,"5,0",5
Black Ice: The Val James Story,Valmore James,0,0
Stephen Harper,John Ibbitson,4,4
Unflinching: The Making of a Canadian Sniper,Jody Mitic,5,5
"Beam Me Up, Scotty",James Doohan,6,6
"Pioneer Photographers of the Far West: A Biographical Dictionary, 1840-1865",Peter Palmquist,1,1
Three Against the Wilderness (Classics West Collection),Eric Collier,1,1
Houses Made of Wood and Light: The Life and Architecture of Hank Schubart (Roger Fullington Series in Architecture),Michele Dunkerley,5,5
"How We Changed Toronto: The inside story of twelve creative, tumultuous years in civic life, 1969-1980",John Sewell,0,0
Otherwise (Globe and Mail Best Books),Farley Mowat,6,6
A Way to See the World: From Texas to Transylvania With a Maverick Traveler,Thomas Swick,4,4
L.M. Montgomery (Twayne's World Authors Series),Genevieve Wiggins,5,5
Eisenhower Versus Montgomery: The Continuing Debate,G E P Murray,3,3
Three Seasons in the Wind: 950 Km by Canoe Down Northern Canadas Thelon River,Kathleen Pitt,3,3
Creatures of the Rock: A Veterinarian's Adventures in Newfoundland,Andrew Peacock,6,6
Packtrains & Airplanes: Memories of Lonesome Lake,Trudy Turner,1,1
"A Narrative of the Captivity of Mrs. Johnson, Together with a Narrative of James Johnson: Indian Captive of Charlestown, New Hampshire (Heritage Classic)",Mrs Susanna Willard Johnson,0,0
Emily Carr: At the Edge of the World,Jo Ellen Bogart,5,5
Righteous Dopefiend (California Series in Public Anthropology),Philippe Bourgois,7,7
The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,Jeff Hobbs,2,2
The Glass Castle: A Memoir,Jeannette Walls,0,0
Hole in My Life,Jack Gantos,6,6
Report from Engine Co. 82,Dennis Smith,2,2
Big Sur and the Oranges of Hieronymus Bosch,Henry Miller,4,4
The Last Men Out: Life on the Edge at Rescue 2 Firehouse,Tom Downey,6,6
"David Wilkerson: The Cross, the Switchblade, and the Man Who Believed",Gary Wilkerson,"2,0",2
Sleepers,Lorenzo Carcaterra,3,3
Daughter of Destiny: Kathryn Kuhlman,Jamie Buckingham,1,1
The Big Sea: An Autobiography (American Century Series),Langston Hughes,1,1
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,6,6
The Woman Who Wasn't There: The True Story of an Incredible Deception,Robin Gaby Fisher,7,7
"Eating Wildly: Foraging for Life, Love and the Perfect Meal",Ava Chin,5,5
A Walker in the City,Alfred Kazin,6,6
Mama Lola: A Vodou Priestess in Brooklyn Updated and Expanded Edition (Comparative Studies in Religion and Society),Karen McCarthy Brown,2,2
Impact Player: Leaving a Lasting Legacy On and Off the Field,Bobby Richardson,7,7
56: Joe DiMaggio and the Last Magic Number in Sports,Kostya Kennedy,0,0
The Crazyladies of Pearl Street: A Novel,Trevanian,4,4
"Dangerous to Know: Women, Crime, and Notoriety in the Early Republic",Susan Branson,6,6
The Gift of Peace: Personal Reflections,Cardinal Joseph Bernardin,6,6
The Cloister Walk,Kathleen Norris,6,6
Maestro: A Surprising Story About Leading by Listening,Roger Nierenberg,0,0
A Father's Story,Lionel Dahmer,6,6
You Were Never in Chicago (Chicago Visions and Revisions),Neil Steinberg,6,6
Detroit: 1930-1969 (Images of America: Michigan),David  Lee  Poremba,5,5
Cincinnati Reds Legends,Mike Shannon,5,5
Open City: True Story of the KC Crime Family 1900-1950,william N ouseley,6,6
Blues with a Feeling: The Little Walter Story,Tony Glover,0,0
Local Wonders: Seasons in the Bohemian Alps (American Lives),Ted Kooser,1,1
"White Field, Black Sheep: A Lithuanian-American Life",Daiva Markelis,0,0
The Girls from Ames: A Story of Women and a Forty-Year Friendship,Jeffrey Zaslow,0,0
A Time of Terror: A Survivor's Story,James Cameron,5,5
Dust Bowl Diary,Ann Marie Low,7,7
Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,6,6
Ryan White: My Own Story (Signet),Ryan White,6,6
Sod and Stubble: The Unabridged and Annotated Edition,John Ise,6,6
Ghoulardi: Inside Cleveland TV's Wildest Ride (Ohio),Tom Feran,6,6
"House of Horrors: The Shocking True Story of Anthony Sowell, the Cleveland Strangler",Robert Sberna,"5,4",5
Railroading on the Illinois Central,Winford L Green,4,4
Biting through the Skin: An Indian Kitchen in America's Heartland,Nina Mukerjee Furstenau,6,6
"House of Darkness: House of Light- The True Story, Vol. 1",Andrea Perron,6,6
A Year In The Maine Woods,Bernd Heinrich,5,5
"Genealogical and Personal Memoirs Relating to the Families of Boston and Eastern Massachusetts, Volume 4",William Richard Cutter,1,1
On the Cusp: The Yale College Class of 1960 and a World on the Verge of Change,Daniel Horowitz,5,5
"History of Ancient Woodbury, Connecticut: From the First Indian Dead in 1659.. Volume 3",William Cothren,6,6
The Peabody Sisters: Three Women Who Ignited American Romanticism,Megan Marshall,6,6
The Seaside House: Maine Innkeepers,Trish Mason,6,6
"Hartford Puritanism: Thomas Hooker, Samuel Stone, and Their Terrifying God (Oxford Studies in Historical Theology)",Baird Tipson,3,3
Hallelujah Junction: Composing an American Life,John Adams,5,5
The Real Animal House: The Awesomely Depraved Saga of the Fraternity That Inspired the Movie,Chris Miller,"2,7",2
"The Life of John A. Andrew: Governor of Massachusetts, 1861-1865, Volume I",Henry Greenleaf Pearson,6,6
Ambulance Girl: How I Saved Myself By Becoming an EMT,Jane Stern,5,5
"A Journal for Christa: Christa McAuliffe, Teacher in Space",Grace George Corrigan,"2,7",2
Dune Boy: The Early Years of a Naturalist,Edwin Way Teale,4,4
"From the lowly runways of Presque Isle, Maine to the lofty height of the Empire State Building",Ruthe Butler Bantle,1,1
The Amanda Letters: Civil War Days on the Coast of Maine,Courtney MacLachlan,5,5
John Winthrop: Founding the City Upon a Hill (Routledge Historical Americans),Michael Parker,1,1
"John Gilley, Maine Farmer and Fisherman",Charles William Eliot,3,3
Wooden Boats,Michael Ruhlman,7,7
"A Dresser of Sycamore Trees: The Finding of a Ministry (Nonpareil Book, 95)",Garret Keizer,2,2
How to Rig an Election: Confessions of a Republican Operative,Allen Raymond,4,4
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,3,3
Mad Madame LaLaurie:: New Orleans' Most Famous Murderress Revealed (True Crime),Victoria Cosner Love,0,0
My Awakening: A Path to Racial Understanding,David Ernest Duke,"0,2",0
Elizabeth and Hazel: Two Women of Little Rock,David Margolick,0,0
Georgia O'Keeffe: A Life,Roxana Robinson,0,0
Atchafalaya Houseboat: My Years in the Louisiana Swamp,Gwen Roland,2,2
In the Place of Justice: A Story of Punishment and Redemption,Wilbert Rideau,6,6
Sky of Stone: A Memoir,Homer Hickam,5,5
"Resisting Sherman: A Confederate Surgeon's Journal and the Civil War in the Carolinas, 1865",Thomas Robertson,0,0
Bloodsworth: The True Story of One Man's Triumph over Injustice (Shannon Ravenel Books),Tim Junkin,1,1
"Fear of Our Father: The True Story of Abuse, Murder, and Family Ties",Lisa Bonnice,6,6
Wide Neighborhoods: A Story of the Frontier Nursing Service,Mary Breckinridge,0,0
A Confessor's Handbook: Revised and Expanded Edition,Kurt Stasiak OSB,4,4
Payne Hollow: Life on the Fringe of Society,Harlan Hubbard,7,7
The Portable Faulkner (Penguin Classics),William Faulkner,6,6
Tales of the Intracoastal Waterway: An Account of a Passage from the Florida Keys to Cape Cod on a Seventeen Foot Catboat,Roland Sawyer Barth,3,3
Escape,Carolyn Jessop,6,6
Edge of Taos Desert: An Escape to Reality,Mabel Dodge Luhan,6,6
His Name Is Ron: Our Search for Justice,Marilyn Hoffer,6,6
Scrape the Willow Until It Sings: The Words and Work of Basket Maker Julia Parker,Deborah Valoma,4,4
The Legend of Colton H. Bryant,Alexandra Fuller,5,5
Last Guard Out: A Riveting Account by the Last Guard to Leave Alcatraz,Jim Albright,2,2
West with the Night,Beryl Markham,0,0
Girl in the Woods: A Memoir,Aspen Matis,6,6
Hope: A Memoir of Survival in Cleveland,Amanda Berry,6,6
The Lufthansa Heist: Behind the Six-Million-Dollar Cash Haul That Shook the World,Henry Hill,6,6
Whitey: The Life of America's Most Notorious Mob Boss,Dick Lehr,1,1
Pablo Escobar. Mi padre (Las Historias Que No Deberiamos Saber) (Spanish Edition),Juan Pablo Escobar,4,4
"The Black Hand: The Story of Rene ""Boxer"" Enriquez and His Life in the Mexican Mafia",Chris Blatchford,3,3
"True Story tie-in edition: Murder, Memoir, Mea Culpa",Michael Finkel,5,5
Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,7,7
"Go Down Together: The True, Untold Story of Bonnie and Clyde",Jeff Guinn,0,0
"Amando a Pablo, Odiando a Escobar (Spanish Edition)",Virginia Vallejo,6,6
Street Poison: The Biography of Iceberg Slim,Justin Gifford,2,2
American Desperado: My Life--From Mafia Soldier to Cocaine Cowboy to Secret Government Asset,Jon Roberts,3,3
"Gotti's Rules: The Story of John Alite, Junior Gotti, and the Demise of the American Mafia",George Anastasia,4,4
My Friend Leonard,James Frey,0,0
The Map Thief: The Gripping Story of an Esteemed Rare-Map Dealer Who Made Millions Stealing Priceless Maps,Michael Blanding,1,1
"Fatal Friends, Deadly Neighbors: Ann Rule's Crime Files Volume 16",Ann Rule,6,6
The Underdogs: A Novel of the Mexican Revolution (Penguin Classics),Mariano Azuela,6,6
Underboss: Sammy the Bull Gravano's Story of Life in the Mafia,Peter Maas,1,1
The Man in the Rockefeller Suit: The Astonishing Rise and Spectacular Fall of a Serial Impostor,Mark Seal,"0,4",0
Delusions of Grandeur: A Few Hundred Tales from the Emperor of St. Louis,Chris Andoe,6,6
Different Like Me: My Book of Autism Heroes,Jennifer Elder,6,6
My Life and Lesser Catastrophes: An Unflinchingly Honest Journey of Faith,Christina Schofield,2,2
"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,3,3
Awkward Bitch: My Life with MS,Marlo Donato Parmelee,6,6
Waking: A Memoir of Trauma and Transcendence,Matthew Sanford,0,0
Haatchi & Little B: The Inspiring True Story of One Boy and His Dog,Wendy Holden,6,6
No Excuses: The True Story of a Congenital Amputee Who Became a Champion in Wrestling and in Life,Kyle Maynard,3,3
We Named Her Faith,Tim Orr,0,0
What You Must Think of Me: A Firsthand Account of One Teenager's Experience with Social Anxiety Disorder (Adolescent Mental Health Initiative),Emily Ford,7,7
Bound to Love: a memoir of grit and gratitude,Skye Blaine,7,7
Nobody Nowhere: The Remarkable Autobiography of an Autistic Girl,Donna Williams,1,1
"One Million Lovely Letters: When Life is Looking Hopeless, One Inspirational Letter Can Change Your Life Forever",Jodi Ann Bickley,5,5
The Horse Boy: A Memoir of Healing,Rupert Isaacson,4,4
"The Autism Sourcebook: Everything You Need to Know About Diagnosis, Treatment, Coping, and Healing--from a Mother Whose Child Recovered",Karen Siff Exkorn,1,1
"A Good and Perfect Gift: Faith, Expectations, and a Little Girl Named Penny",Amy Julia Becker,0,0
The Underground Girls of Kabul: In Search of a Hidden Resistance in Afghanistan,Jenny Nordberg,1,1
Alone on the Wall,Alex Honnold,6,6
Waterman: The Life and Times of Duke Kahanamoku,David Davis,6,6
Saban: The Making of a Coach,Monte Burke,5,5
I Am Zlatan: My Story On and Off the Field,Zlatan Ibrahimovic,6,6
Molina: The Story of the Father Who Raised an Unlikely Baseball Dynasty,Bengie Molina,3,3
Left for Dead (Movie Tie-in Edition): My Journey Home from Everest,Beck Weathers,0,0
"Hail to the Redskins: Gibbs, the Diesel, the Hogs, and the Glory Days of D.C.'s Football Dynasty",Adam Lazarus,0,0
Alex Ferguson: My Autobiography,Sir Alex Ferguson,5,5
